time_s,wind_speed_mps,disturbance,dos_flag,ack_flag,membership_low,membership_high,x1,x2,u_candidate,u_applied,release_attempt,release_success
20.8,12.681140874795965,0.0567498078940763,0,0,0.32971478130100884,0.6702852186989912,0.04297919209695539,0.006017497003025578,-0.06188867489788767,0.0073105368915964645,0,0
20.9,12.806380377532092,0.0743607835368298,0,0,0.2984049056169771,0.7015950943830229,0.04531701858471128,0.005751221552400717,-0.0636976884966803,0.0073105368915964645,0,0
21.0,13.108003005945228,0.0632195349410729,0,0,0.2229992485136929,0.7770007514863071,0.046834783042435386,0.005078091903942417,-0.06752202210402435,0.0073105368915964645,0,0
21.1,12.53643060544728,0.0532989841863844,0,0,0.3658923486381802,0.6341076513618198,0.04778612889526832,0.00410280651363574,-0.06775909674521964,0.0073105368915964645,0,0
21.200000000000003,12.864574789812345,0.0794900681530303,0,0,0.28385630254691385,0.7161436974530861,0.05009370688776329,0.003916313956703546,-0.06927428156238194,0.0073105368915964645,0,0
21.3,12.72465085753019,0.0579649043690898,0,0,0.3188372856174526,0.6811627143825474,0.05106551536419342,0.0030187058896192845,-0.07199564641408994,0.0073105368915964645,0,0
21.4,12.75244087364866,0.0553327258535817,0,0,0.3118897815878352,0.6881102184121648,0.05180658934298019,0.0020747452948510084,-0.07283150338600355,0.0073105368915964645,0,0
21.5,13.073605646277684,0.0845189946919758,0,0,0.2315985884305789,0.7684014115694211,0.05409290136864248,0.002018038387336382,-0.07410013344882353,0.0073105368915964645,0,0
21.6,12.945894696623382,0.0640247438997361,0,0,0.2635263258441545,0.7364736741558455,0.05509214929900445,0.001270864080674583,-0.07691658220903727,0.0073105368915964645,0,0
21.700000000000003,13.13405912374983,0.084224067344416,0,0,0.21648521906254237,0.7835147809374576,0.057139981094715055,0.0011233325270779812,-0.07834662564476888,0.0073105368915964645,0,0
21.8,12.74932256989565,0.0858197787876434,0,0,0.3126693575260875,0.6873306424739125,0.05923325877986901,0.0009219189928884374,-0.0800134363717745,0.0073105368915964645,0,0
21.9,12.602099897738483,0.0440689380259572,0,0,0.3494750255653791,0.6505249744346209,0.05887789600749445,-0.0005669564534563211,-0.08234513145100755,0.0073105368915964645,0,0
22.0,12.70815612376009,0.0643473865250142,0,0,0.3229609690599773,0.6770390309400227,0.05962466164841212,-0.001328249367988528,-0.0812004929441324,0.0073105368915964645,0,0
